Proposed,TotalAccepted,GoodMove,BoltzmannMove,Rejected,F(Q),Enthalpy,χ²
35900000,24565774,12621001,11944773,11334226,18.828336,-3.771497,-1887766.614000
36000000,24635999,12656319,11979680,11364001,19.092235,-3.772187,-1888071.492000
36100000,24706341,12691488,12014853,11393659,19.186597,-3.772030,-1887977.906000
36200000,24776606,12726923,12049683,11423394,18.931512,-3.772244,-1888125.771000
36300000,24846758,12762028,12084730,11453242,19.055614,-3.771687,-1887826.648000
36400000,24917022,12797334,12119688,11482978,18.955907,-3.771756,-1887876.571000
36500000,24987544,12832992,12154552,11512456,18.789985,-3.772344,-1888197.319000
36600000,25057847,12868228,12189619,11542153,18.919980,-3.772309,-1888159.606000
36700000,25128251,12903508,12224743,11571749,18.966032,-3.772639,-1888317.983000
36800000,25198502,12938481,12260021,11601498,18.851261,-3.772408,-1888220.081000
36900000,25268854,12973643,12295211,11631146,18.948793,-3.772688,-1888344.979000
37000000,25339004,13008717,12330287,11660996,18.960086,-3.772670,-1888334.203000
37100000,25409159,13044049,12365110,11690841,18.650870,-3.772538,-1888316.192000
37200000,25479419,13079034,12400385,11720581,18.983911,-3.772511,-1888250.752000
37300000,25549770,13114389,12435381,11750230,18.979016,-3.772843,-1888417.962000
37400000,25620011,13149612,12470399,11779989,19.066948,-3.772984,-1888475.036000
37500000,25690108,13184781,12505327,11809892,18.572493,-3.773005,-1888563.211000
37600000,25760013,13219861,12540152,11839987,18.818078,-3.773283,-1888663.768000
37700000,25830392,13255225,12575167,11869608,18.629062,-3.773193,-1888647.989000
37800000,25900601,13290437,12610164,11899399,18.718988,-3.773381,-1888728.533000
37900000,25970865,13325567,12645298,11929135,18.881183,-3.773221,-1888623.228000
38000000,26040900,13360654,12680246,11959100,18.583521,-3.773254,-1888687.867000
38100000,26110954,13395674,12715280,11989046,18.666085,-3.773498,-1888795.391000
38200000,26181198,13431018,12750180,12018802,18.375734,-3.773544,-1888863.730000
38300000,26251536,13466318,12785218,12048464,18.719656,-3.773516,-1888795.841000
38400000,26321464,13501258,12820206,12078536,18.764285,-3.773402,-1888731.603000
38500000,26391480,13536264,12855216,12108520,18.934768,-3.773252,-1888629.841000
38600000,26461663,13571396,12890267,12138337,18.904944,-3.773697,-1888857.601000
38700000,26532177,13606787,12925390,12167823,18.669557,-3.773694,-1888893.166000
38800000,26602730,13641973,12960757,12197270,18.569611,-3.773881,-1889002.440000
38900000,26672872,13677184,12995688,12227128,18.846659,-3.774037,-1889037.213000
39000000,26742889,13712136,13030753,12257111,18.501945,-3.773607,-1888875.584000
39100000,26813060,13747205,13065855,12286940,18.765816,-3.773568,-1888814.926000
39200000,26883120,13782351,13100769,12316880,18.785806,-3.774202,-1889130.554000
39300000,26952844,13817121,13135723,12347156,19.025563,-3.774201,-1889091.307000
39400000,27022980,13852340,13170640,12377020,19.028099,-3.774385,-1889184.162000
39500000,27093221,13887695,13205526,12406779,18.788281,-3.774619,-1889338.142000
39600000,27163668,13922961,13240707,12436332,18.858904,-3.774313,-1889173.821000
39700000,27233581,13958079,13275502,12466419,18.552690,-3.774404,-1889267.103000
39800000,27304013,13993283,13310730,12495987,18.762330,-3.774373,-1889219.109000
39900000,27374339,14028561,13345778,12525661,18.748142,-3.774383,-1889225.915000
40000000,27444890,14063875,13381015,12555110,18.641076,-3.774344,-1889223.449000
40100000,27515231,14099134,13416097,12584769,18.752960,-3.774625,-1889346.579000
40200000,27585563,14134443,13451120,12614437,18.738802,-3.774871,-1889472.247000
40300000,27656079,14169885,13486194,12643921,18.851598,-3.775003,-1889520.698000
40400000,27726354,14204861,13521493,12673646,18.700974,-3.774904,-1889494.962000
40500000,27796675,14239917,13556758,12703325,18.682168,-3.774907,-1889499.410000
40600000,27867188,14275097,13592091,12732812,18.796891,-3.774747,-1889400.906000
40700000,27937357,14310192,13627165,12762643,18.635333,-3.774912,-1889509.097000
40800000,28007620,14345349,13662271,12792380,19.152300,-3.775035,-1889490.064000
40900000,28077851,14380513,13697338,12822149,18.901762,-3.774976,-1889499.528000
41000000,28148250,14415650,13732600,12851750,18.737996,-3.775040,-1889557.271000
41100000,28218581,14450967,13767614,12881419,18.758576,-3.775419,-1889743.907000
41200000,28289125,14486613,13802512,12910875,18.763818,-3.775407,-1889736.972000
41300000,28359209,14521744,13837465,12940791,18.902693,-3.775473,-1889748.549000
41400000,28429506,14556976,13872530,12970494,18.669940,-3.775495,-1889796.006000
41500000,28499939,14592379,13907560,13000061,18.773740,-3.775601,-1889832.934000
41600000,28570170,14627309,13942861,13029830,18.923531,-3.775482,-1889749.830000
41700000,28640594,14662762,13977832,13059406,18.677678,-3.775492,-1889792.833000
41800000,28710873,14697919,14012954,13089127,18.857008,-3.775778,-1889908.600000
41900000,28781122,14733014,14048108,13118878,18.846790,-3.775865,-1889953.540000
42000000,28851368,14768312,14083056,13148632,18.727173,-3.776232,-1890156.460000
42100000,28921254,14803292,14117962,13178746,18.768767,-3.776339,-1890203.519000
42200000,28991720,14838516,14153204,13208280,18.749703,-3.775996,-1890034.310000
42300000,29061910,14873874,14188036,13238090,18.832988,-3.776158,-1890102.534000
42400000,29132293,14909359,14222934,13267707,19.033581,-3.776420,-1890202.734000
42500000,29202957,14944789,14258168,13297043,18.745858,-3.776204,-1890140.687000
42600000,29273337,14980056,14293281,13326663,18.344305,-3.776191,-1890195.671000
42700000,29343471,15015102,14328369,13356529,18.679103,-3.776104,-1890099.674000
42800000,29414083,15050343,14363740,13385917,18.429388,-3.776061,-1890117.361000
42900000,29484419,15085525,14398894,13415581,18.540210,-3.776296,-1890217.679000
43000000,29554971,15120895,14434076,13445029,18.324860,-3.776637,-1890421.967000
43100000,29625516,15156282,14469234,13474484,18.850478,-3.776719,-1890381.016000
43200000,29695897,15191607,14504290,13504103,18.514466,-3.776394,-1890270.874000
43300000,29766240,15226816,14539424,13533760,18.715834,-3.776519,-1890301.990000
43400000,29836675,15262179,14574496,13563325,18.652350,-3.776661,-1890383.184000
43500000,29907325,15297468,14609857,13592675,18.827110,-3.776780,-1890415.207000
43600000,29977689,15332640,14645049,13622311,18.675164,-3.776831,-1890464.485000
43700000,30048032,15367989,14680043,13651968,18.519950,-3.776706,-1890426.156000
43800000,30118292,15403053,14715239,13681708,18.848029,-3.776545,-1890294.462000
43900000,30188917,15438441,14750476,13711083,18.439945,-3.776917,-1890544.455000
44000000,30259313,15473657,14785656,13740687,18.601366,-3.776798,-1890459.781000
44100000,30329649,15508949,14820700,13770351,18.168857,-3.776872,-1890564.475000
44200000,30400311,15544404,14855907,13799689,18.895492,-3.777080,-1890555.135000
44300000,30470612,15579534,14891078,13829388,18.577390,-3.776919,-1890524.077000
44400000,30541326,15614737,14926589,13858674,18.695335,-3.776921,-1890506.414000
44500000,30611872,15650268,14961604,13888128,18.635007,-3.777376,-1890744.426000
44600000,30682064,15685366,14996698,13917936,19.116028,-3.777252,-1890607.860000
44700000,30752039,15720388,15031651,13947961,19.127431,-3.777325,-1890641.585000
44800000,30822465,15755768,15066697,13977535,18.742903,-3.777328,-1890703.164000
44900000,30892188,15790543,15101645,14007812,18.774858,-3.777083,-1890575.661000
45000000,30962765,15825797,15136968,14037235,18.888505,-3.777221,-1890626.980000
45100000,31033034,15860993,15172041,14066966,18.670119,-3.777502,-1890802.060000
45200000,31103137,15896210,15206927,14096863,19.024236,-3.777753,-1890872.629000
45300000,31173234,15931457,15241777,14126766,18.983386,-3.777890,-1890947.536000
45400000,31243780,15966886,15276894,14156220,18.623332,-3.777669,-1890893.172000
45500000,31314006,16002023,15311983,14185994,18.413876,-3.777638,-1890910.239000
45600000,31384473,16037222,15347251,14215527,18.833536,-3.777721,-1890886.153000
45700000,31454652,16072513,15382139,14245348,18.747613,-3.778187,-1891133.055000
45800000,31524994,16107777,15417217,14275006,18.528073,-3.778100,-1891123.751000
45900000,31595192,16142838,15452354,14304808,19.050298,-3.778234,-1891109.657000
46000000,31665622,16178181,15487441,14334378,18.781119,-3.778482,-1891275.762000
46100000,31735827,16213196,15522631,14364173,18.602299,-3.778291,-1891207.965000
46200000,31806258,16248406,15557852,14393742,18.782655,-3.778185,-1891127.868000
46300000,31876455,16283713,15592742,14423545,18.764056,-3.778478,-1891276.571000
46400000,31946693,16318914,15627779,14453307,18.951298,-3.778657,-1891336.839000
46500000,32017187,16354338,15662849,14482813,18.343395,-3.778698,-1891452.526000
46600000,32087577,16389645,15697932,14512423,18.324507,-3.778872,-1891542.785000
46700000,32157899,16424889,15733010,14542101,18.516885,-3.778981,-1891567.055000
46800000,32228632,16460094,15768538,14571368,18.364232,-3.778957,-1891579.344000
46900000,32299141,16495363,15803778,14600859,18.675917,-3.778881,-1891492.325000
47000000,32369674,16530835,15838839,14630326,18.720231,-3.778933,-1891511.731000
47100000,32440179,16565984,15874195,14659821,18.551618,-3.778875,-1891508.847000
47200000,32510747,16601262,15909485,14689253,18.582769,-3.778929,-1891530.812000
47300000,32581198,16636407,15944791,14718802,18.485175,-3.778684,-1891424.583000
47400000,32651806,16671906,15979900,14748194,18.620765,-3.779051,-1891586.429000
47500000,32721698,16707008,16014690,14778302,18.738773,-3.779186,-1891635.208000
47600000,32792311,16742299,16050012,14807689,18.795327,-3.779102,-1891584.290000
47700000,32862528,16777366,16085162,14837472,18.814874,-3.779282,-1891672.274000
47800000,32932890,16812565,16120325,14867110,18.823516,-3.779351,-1891704.960000
47900000,33003537,16848052,16155485,14896463,18.442980,-3.779284,-1891730.953000
48000000,33073842,16883299,16190543,14926158,18.876595,-3.778988,-1891514.818000
48100000,33144064,16918587,16225477,14955936,18.239942,-3.779233,-1891736.990000
48200000,33214351,16953888,16260463,14985649,18.009927,-3.779260,-1891786.413000
48300000,33284642,16989108,16295534,15015358,18.267574,-3.779397,-1891814.458000
48400000,33355337,17024380,16330957,15044663,18.365161,-3.779619,-1891911.071000
48500000,33425927,17059863,16366064,15074073,18.490404,-3.779616,-1891890.641000
48600000,33496454,17094950,16401504,15103546,18.652166,-3.779460,-1891786.703000
48700000,33566859,17130231,16436628,15133141,18.444390,-3.779491,-1891835.312000
48800000,33637312,17165501,16471811,15162688,18.700296,-3.779510,-1891805.183000
48900000,33707678,17200789,16506889,15192322,18.692697,-3.779786,-1891944.755000
49000000,33778148,17236062,16542086,15221852,18.598139,-3.779746,-1891938.280000
49100000,33848669,17271364,16577305,15251331,18.593124,-3.779644,-1891887.598000
49200000,33918704,17306375,16612329,15281296,18.578360,-3.779623,-1891879.281000
49300000,33989103,17341619,16647484,15310897,18.623214,-3.779653,-1891887.488000
49400000,34059892,17377172,16682720,15340108,18.708214,-3.779763,-1891929.540000
49500000,34130285,17412534,16717751,15369715,18.061173,-3.780066,-1892182.638000
49600000,34200709,17448024,16752685,15399291,18.315726,-3.780075,-1892147.911000
49700000,34270333,17482663,16787670,15429667,18.556577,-3.780191,-1892167.801000
49800000,34340713,17517947,16822766,15459287,18.562386,-3.780149,-1892145.662000
49900000,34410884,17553018,16857866,15489116,18.439606,-3.780047,-1892113.771000
50000000,34481428,17588373,16893055,15518572,18.370379,-3.779946,-1892073.864000
50100000,34551814,17623609,16928205,15548186,18.697557,-3.780019,-1892059.386000
50200000,34622486,17658910,16963576,15577514,18.507800,-3.779825,-1891991.675000
50300000,34692890,17694338,16998552,15607110,18.293153,-3.780140,-1892183.143000
50400000,34763345,17729478,17033867,15636655,18.327671,-3.780014,-1892114.609000
50500000,34833811,17764690,17069121,15666189,18.462971,-3.780451,-1892312.607000
50600000,34904021,17799924,17104097,15695979,18.597790,-3.780533,-1892333.415000
50700000,34974492,17835345,17139147,15725508,18.115293,-3.780381,-1892331.279000
50800000,35044954,17870675,17174279,15755046,18.315023,-3.780674,-1892447.613000
50900000,35115135,17905953,17209182,15784865,18.325415,-3.780782,-1892501.847000
51000000,35185571,17940954,17244617,15814429,18.689560,-3.780303,-1892202.999000
51100000,35256161,17976264,17279897,15843839,18.547501,-3.780408,-1892277.986000
51200000,35326416,18011646,17314770,15873584,18.645474,-3.780697,-1892408.089000
51300000,35396818,18046901,17349917,15903182,18.173067,-3.780774,-1892520.270000
51400000,35467632,18082453,17385179,15932368,18.624148,-3.780942,-1892534.753000
51500000,35538104,18117686,17420418,15961896,18.513402,-3.780934,-1892547.107000
51600000,35608641,18152878,17455763,15991359,18.502672,-3.780954,-1892558.527000
51700000,35678989,18188147,17490842,16021011,18.381668,-3.781146,-1892673.713000
51800000,35749573,18223298,17526275,16050427,18.514143,-3.781098,-1892629.362000
51900000,35820079,18258390,17561689,16079921,18.479585,-3.780679,-1892426.452000
52000000,35890475,18293582,17596893,16109525,18.377083,-3.780679,-1892440.387000
52100000,35960609,18328729,17631880,16139391,18.531627,-3.780991,-1892572.461000
52200000,36030964,18364002,17666962,16169036,18.367339,-3.780856,-1892530.500000
52300000,36101356,18399278,17702078,16198644,18.173289,-3.781093,-1892679.953000
52400000,36171853,18434525,17737328,16228147,18.233376,-3.780760,-1892504.815000
52500000,36242471,18470030,17772441,16257529,18.257813,-3.781066,-1892653.181000
52600000,36313122,18505413,17807709,16286878,18.265575,-3.781364,-1892801.332000
52700000,36383668,18540658,17843010,16316332,18.103657,-3.781441,-1892865.271000
52800000,36454268,18576039,17878229,16345732,18.087426,-3.781543,-1892918.977000
52900000,36524664,18611245,17913419,16375336,18.434069,-3.781179,-1892685.052000
53000000,36595102,18646685,17948417,16404898,18.622462,-3.781143,-1892636.331000
53100000,36665590,18682254,17983336,16434410,18.757399,-3.781560,-1892823.710000
53200000,36736043,18717667,18018376,16463957,18.915820,-3.781796,-1892916.370000
53300000,36806803,18753066,18053737,16493197,18.561738,-3.781581,-1892863.741000
53400000,36877275,18788347,18088928,16522725,18.674975,-3.781738,-1892924.844000
53500000,36947816,18823789,18124027,16552184,18.681452,-3.781983,-1893046.553000
53600000,37018290,18858903,18159387,16581710,18.321786,-3.781902,-1893062.238000
53700000,37088711,18894132,18194579,16611289,18.681286,-3.782060,-1893085.011000
53800000,37159340,18929431,18229909,16640660,18.307912,-3.781725,-1892975.412000
53900000,37229568,18964719,18264849,16670432,18.294066,-3.781823,-1893026.610000
54000000,37299738,18999699,18300039,16700262,18.233676,-3.781830,-1893039.628000
54100000,37370105,19034952,18335153,16729895,18.306239,-3.781974,-1893100.444000
54200000,37440809,19070431,18370378,16759191,18.224206,-3.782235,-1893244.155000
54300000,37511531,19105759,18405772,16788469,18.357845,-3.782325,-1893268.769000
54400000,37582091,19140947,18441144,16817909,18.536558,-3.782370,-1893263.264000
54500000,37652780,19176272,18476508,16847220,18.580854,-3.782309,-1893225.963000
54600000,37723282,19211473,18511809,16876718,18.288828,-3.782224,-1893228.464000
54700000,37793816,19246810,18547006,16906184,18.416707,-3.782342,-1893267.862000
54800000,37864422,19282289,18582133,16935578,18.181598,-3.782267,-1893267.074000
54900000,37934910,19317525,18617385,16965090,18.284311,-3.782561,-1893398.551000
55000000,38005283,19352543,18652740,16994717,18.388870,-3.782732,-1893467.943000
55100000,38075811,19387881,18687930,17024189,18.447891,-3.782560,-1893372.464000
55200000,38146321,19423217,18723104,17053679,18.279713,-3.782615,-1893427.657000
55300000,38216811,19458448,18758363,17083189,18.237808,-3.782408,-1893329.087000
55400000,38287224,19493692,18793532,17112776,18.203475,-3.782403,-1893331.426000
55500000,38357706,19529029,18828677,17142294,18.475442,-3.782850,-1893513.503000
55600000,38428269,19564285,18863984,17171731,18.550206,-3.782800,-1893476.778000
55700000,38498552,19599391,18899161,17201448,18.458223,-3.782681,-1893431.513000
55800000,38569046,19634675,18934371,17230954,18.151171,-3.782641,-1893459.306000
55900000,38639562,19670129,18969433,17260438,18.128087,-3.782639,-1893461.428000
56000000,38710372,19705606,19004766,17289628,18.017967,-3.782803,-1893561.414000
56100000,38780878,19740740,19040138,17319122,18.068947,-3.782963,-1893633.268000
56200000,38851364,19775958,19075406,17348636,18.423082,-3.783062,-1893628.204000
56300000,38921756,19811219,19110537,17378244,18.301199,-3.782913,-1893572.290000
56400000,38992236,19846514,19145722,17407764,18.330681,-3.783143,-1893682.623000
56500000,39062769,19881907,19180862,17437231,18.828912,-3.783451,-1893759.288000
56600000,39133336,19917258,19216078,17466664,18.272225,-3.783537,-1893888.512000
56700000,39203870,19952465,19251405,17496130,18.245564,-3.783569,-1893909.585000
56800000,39274389,19987694,19286695,17525611,18.802428,-3.783640,-1893858.415000
56900000,39344725,20022750,19321975,17555275,18.384550,-3.783236,-1893721.262000
57000000,39415213,20058064,19357149,17584787,18.355523,-3.783010,-1893612.101000
57100000,39485103,20092964,19392139,17614897,18.512014,-3.783499,-1893833.152000
57200000,39555925,20128406,19427519,17644075,18.658453,-3.783418,-1893769.325000
57300000,39626432,20163680,19462752,17673568,18.055466,-3.783359,-1893834.293000
57400000,39697110,20199146,19497964,17702890,18.506656,-3.783686,-1893927.697000
57500000,39767629,20234493,19533136,17732371,18.422562,-3.783722,-1893958.758000
57600000,39838191,20269733,19568458,17761809,18.422092,-3.783385,-1893789.618000
57700000,39908874,20305361,19603513,17791126,18.321991,-3.783549,-1893887.907000
57800000,39979563,20340988,19638575,17820437,18.353822,-3.783924,-1894070.530000
57900000,40050305,20376307,19673998,17849695,18.607045,-3.783603,-1893870.122000
58000000,40120558,20411548,19709010,17879442,18.282744,-3.783847,-1894043.356000
58100000,40191177,20447050,19744127,17908823,18.526476,-3.783875,-1894019.121000
58200000,40261198,20482198,19779000,17938802,18.317201,-3.784061,-1894145.207000
58300000,40331877,20517608,19814269,17968123,18.503950,-3.784250,-1894210.615000
58400000,40402364,20552708,19849656,17997636,18.448702,-3.784048,-1894117.890000
58500000,40472702,20587617,19885085,18027298,18.421702,-3.783869,-1894032.413000
58600000,40543435,20623113,19920322,18056565,18.224460,-3.784080,-1894169.208000
58700000,40614170,20658418,19955752,18085830,18.053253,-3.783784,-1894047.119000
58800000,40684924,20693869,19991055,18115076,18.294159,-3.783833,-1894034.436000
58900000,40755538,20729112,20026426,18144462,18.484529,-3.783730,-1893953.206000
59000000,40826269,20764448,20061821,18173731,18.373281,-3.783710,-1893960.369000
59100000,40896880,20799844,20097036,18203120,18.067442,-3.783704,-1894005.196000
59200000,40967362,20835149,20132213,18232638,18.099152,-3.783746,-1894021.341000
59300000,41037901,20870601,20167300,18262099,18.148302,-3.784138,-1894210.131000
59400000,41108497,20905881,20202616,18291503,18.257262,-3.784214,-1894231.060000
59500000,41179063,20941096,20237967,18320937,18.308431,-3.784379,-1894305.898000
59600000,41249908,20976560,20273348,18350092,18.251052,-3.784223,-1894237.655000
59700000,41320575,21012087,20308488,18379425,18.255191,-3.784045,-1894146.950000
59800000,41391123,21047574,20343549,18408877,18.252061,-3.784233,-1894241.103000
59900000,41461746,21082945,20378801,18438254,18.333048,-3.784333,-1894278.881000
60000000,41532511,21118246,20414265,18467489,18.095320,-3.784125,-1894211.941000
60100000,41603243,21153593,20449650,18496757,17.780151,-3.783969,-1894182.858000
60200000,41673726,21188886,20484840,18526274,18.189566,-3.784384,-1894326.890000
60300000,41744284,21224170,20520114,18555716,18.106688,-3.784337,-1894316.457000
60400000,41814980,21259363,20555617,18585020,17.976839,-3.784251,-1894293.686000
60500000,41885561,21294810,20590751,18614439,17.894510,-3.784302,-1894333.019000
60600000,41956191,21330061,20626130,18643809,18.089702,-3.784109,-1894204.778000
60700000,42026615,21365258,20661357,18673385,17.920328,-3.784047,-1894200.300000
60800000,42097272,21400705,20696567,18702728,18.064549,-3.784190,-1894249.316000
60900000,42167831,21436165,20731666,18732169,17.969929,-3.784515,-1894427.157000
61000000,42238379,21471319,20767060,18761621,18.008063,-3.784437,-1894381.867000
61100000,42308973,21506620,20802353,18791027,18.048076,-3.784438,-1894376.244000
61200000,42379568,21541914,20837654,18820432,17.692113,-3.784453,-1894439.212000
61300000,42450148,21577172,20872976,18849852,18.055024,-3.784405,-1894358.565000
61400000,42520217,21612238,20907979,18879783,17.894415,-3.784762,-1894562.833000
61500000,42590769,21647399,20943370,18909231,17.867895,-3.784565,-1894468.116000
61600000,42661266,21682451,20978815,18938734,18.010513,-3.784728,-1894527.289000
61700000,42732118,21717955,21014163,18967882,17.962122,-3.784793,-1894567.612000
61800000,42802600,21753057,21049543,18997400,18.089970,-3.784615,-1894458.319000
61900000,42873148,21788507,21084641,19026852,17.908898,-3.784609,-1894483.663000
62000000,42943670,21823851,21119819,19056330,17.806433,-3.784474,-1894432.997000
62100000,43014245,21858947,21155298,19085755,18.018611,-3.784370,-1894346.690000
62200000,43084887,21894293,21190594,19115113,18.192131,-3.784665,-1894467.296000
62300000,43155345,21929621,21225724,19144655,18.084453,-3.784686,-1894495.394000
62400000,43225859,21965047,21260812,19174141,17.471646,-3.784640,-1894567.128000
62500000,43296613,22000355,21296258,19203387,17.906126,-3.784700,-1894529.597000
62600000,43366911,22035615,21331296,19233089,18.269699,-3.784703,-1894476.253000
62700000,43437237,22070833,21366404,19262763,18.393561,-3.784854,-1894530.717000
62800000,43507722,22106069,21401653,19292278,17.955644,-3.784637,-1894490.268000
62900000,43578213,22141261,21436952,19321787,18.521950,-3.784704,-1894435.544000
63000000,43648662,22176599,21472063,19351338,17.913926,-3.784406,-1894381.377000
63100000,43719077,22211713,21507364,19380923,17.899602,-3.784702,-1894531.785000
63200000,43789835,22247075,21542760,19410165,18.305113,-3.784814,-1894524.735000
63300000,43860342,22282315,21578027,19439658,18.233160,-3.784718,-1894488.347000
63400000,43930910,22317642,21613268,19469090,18.228945,-3.784876,-1894567.319000
63500000,44001506,22353059,21648447,19498494,18.153666,-3.784939,-1894610.807000
63600000,44072056,22388545,21683511,19527944,18.032886,-3.785056,-1894688.236000
63700000,44142740,22424044,21718696,19557260,17.895565,-3.785069,-1894716.321000
63800000,44213396,22459308,21754088,19586604,18.243382,-3.785339,-1894797.334000
63900000,44283878,22494553,21789325,19616122,18.243294,-3.785309,-1894782.951000
64000000,44354629,22529963,21824666,19645371,18.107481,-3.785322,-1894810.199000
64100000,44419796,22562495,21857301,19680204,17.980202,-3.785587,-1894962.654000
64200000,44489606,22597181,21892425,19710394,18.424546,-3.785309,-1894754.840000
64300000,44560056,22632344,21927712,19739944,18.359515,-3.785386,-1894803.528000
64400000,44630743,22667735,21963008,19769257,18.285634,-3.785428,-1894835.482000
64500000,44701228,22703041,21998187,19798772,18.408742,-3.785247,-1894725.299000
64600000,44771733,22738281,22033452,19828267,17.865878,-3.785006,-1894689.076000
64700000,44842383,22773567,22068816,19857617,18.316102,-3.785152,-1894692.227000
64800000,44912864,22808982,22103882,19887136,18.195708,-3.785300,-1894785.329000
64900000,44983338,22844362,22138976,19916662,18.370396,-3.785371,-1894793.534000
65000000,45054040,22879672,22174368,19945960,18.440562,-3.785304,-1894748.847000
65100000,45124784,22915178,22209606,19975216,17.936124,-3.785191,-1894771.202000
65200000,45195265,22950620,22244645,20004735,18.071215,-3.785568,-1894939.253000
65300000,45265784,22985713,22280071,20034216,18.452703,-3.785728,-1894959.929000
65400000,45336547,23020736,22315811,20063453,18.581192,-3.785397,-1894773.650000
65500000,45407015,23055899,22351116,20092985,18.027272,-3.785557,-1894942.363000
65600000,45477494,23091239,22386255,20122506,18.020320,-3.785807,-1895066.621000
65700000,45547913,23126381,22421532,20152087,18.089448,-3.785525,-1894915.055000
65800000,45618940,23162047,22456893,20181060,18.198109,-3.785731,-1895000.917000
65900000,45689367,23197330,22492037,20210633,18.019467,-3.785540,-1894932.526000
66000000,45759839,23232618,22527221,20240161,17.845921,-3.785617,-1894998.794000
66100000,45830334,23267657,22562677,20269666,17.979185,-3.785467,-1894902.896000
66200000,45900901,23303157,22597744,20299099,18.042670,-3.785661,-1894990.317000
66300000,45971818,23338559,22633259,20328182,17.915739,-3.785763,-1895061.226000
66400000,46042499,23373783,22668716,20357501,17.937111,-3.785537,-1894944.417000
66500000,46113117,23409217,22703900,20386883,18.058058,-3.785722,-1895018.409000
66600000,46183734,23444591,22739143,20416266,18.528009,-3.785761,-1894965.818000
66700000,46254169,23479881,22774288,20445831,18.397168,-3.785859,-1895034.289000
66800000,46324783,23515238,22809545,20475217,18.094390,-3.785638,-1894970.766000
66900000,46395508,23550704,22844804,20504492,18.238947,-3.786116,-1895187.833000
67000000,46466091,23585908,22880183,20533909,18.262637,-3.786047,-1895150.464000
67100000,46536565,23621247,22915318,20563435,17.781902,-3.785993,-1895197.268000
67200000,46607168,23656517,22950651,20592832,18.014276,-3.786080,-1895204.888000
67300000,46677639,23691751,22985888,20622361,17.998898,-3.785904,-1895118.909000
67400000,46748090,23727058,23021032,20651910,18.015521,-3.785924,-1895126.164000
67500000,46818657,23762418,23056239,20681343,18.338266,-3.786212,-1895220.397000
67600000,46888550,23797387,23091163,20711450,18.051722,-3.786076,-1895196.963000
67700000,46959088,23832616,23126472,20740912,17.936757,-3.785910,-1895132.478000
67800000,47029619,23867945,23161674,20770381,18.350777,-3.785776,-1894999.574000
67900000,47100237,23903309,23196928,20799763,18.178860,-3.786265,-1895271.660000
68000000,47170572,23938663,23231909,20829428,17.838446,-3.786056,-1895220.334000
68100000,47241232,23973978,23267254,20858768,18.027146,-3.786038,-1895181.753000
68200000,47311858,24009427,23302431,20888142,17.973354,-3.785984,-1895162.852000
68300000,47381526,24044186,23337340,20918474,18.340910,-3.786064,-1895145.642000
68400000,47452004,24079610,23372394,20947996,18.274970,-3.786107,-1895177.306000
68500000,47522809,24115167,23407642,20977191,18.213707,-3.786215,-1895241.134000
68600000,47593440,24150346,23443094,21006560,18.328387,-3.786223,-1895227.592000
68700000,47664147,24185743,23478404,21035853,18.412862,-3.786285,-1895244.923000
68800000,47735056,24221283,23513773,21064944,18.063705,-3.786363,-1895338.778000
68900000,47805820,24256730,23549090,21094180,18.050023,-3.786388,-1895352.327000
69000000,47872949,24290288,23582661,21127051,18.003609,-3.786417,-1895375.579000
69100000,47943465,24325332,23618133,21156535,18.127688,-3.786093,-1895193.464000
69200000,48014187,24360712,23653475,21185813,18.348799,-3.786163,-1895194.934000
69300000,48084557,24396037,23688520,21215443,18.026500,-3.786333,-1895329.436000
69400000,48155222,24431437,23723785,21244778,17.811052,-3.786435,-1895414.504000
69500000,48225729,24466879,23758850,21274271,18.194554,-3.786744,-1895509.196000
69600000,48296092,24502205,23793887,21303908,18.148824,-3.786718,-1895503.665000
69700000,48366754,24537346,23829408,21333246,18.056355,-3.786614,-1895465.608000
69800000,48437528,24572746,23864782,21362472,17.891590,-3.786629,-1895499.067000
69900000,48507751,24607848,23899903,21392249,17.868040,-3.786941,-1895658.902000
70000000,48578398,24643171,23935227,21421602,17.951115,-3.786608,-1895479.104000
70100000,48648954,24678692,23970262,21451046,17.824131,-3.786559,-1895474.431000
70200000,48719601,24714198,24005403,21480399,17.911926,-3.786540,-1895451.199000
70300000,48789808,24749210,24040598,21510192,18.089074,-3.786742,-1895524.091000
70400000,48860443,24784307,24076136,21539557,18.206072,-3.786649,-1895459.984000
70500000,48931051,24819584,24111467,21568949,17.955436,-3.786656,-1895502.683000
70600000,49001593,24854911,24146682,21598407,18.188244,-3.786639,-1895457.897000
70700000,49072027,24890267,24181760,21627973,18.295969,-3.786618,-1895430.562000
70800000,49142770,24925822,24216948,21657230,18.281354,-3.786634,-1895440.730000
70900000,49213468,24961285,24252183,21686532,18.132283,-3.786876,-1895585.310000
71000000,49284176,24996494,24287682,21715824,18.225612,-3.787033,-1895649.484000
71100000,49354831,25031780,24323051,21745169,18.060655,-3.787002,-1895660.012000
71200000,49425358,25066992,24358366,21774642,17.945658,-3.786906,-1895629.427000
71300000,49495884,25102355,24393529,21804116,18.353179,-3.786869,-1895546.999000
71400000,49566633,25137659,24428974,21833367,18.060660,-3.786744,-1895530.032000
71500000,49637439,25172964,24464475,21862561,18.085684,-3.786776,-1895542.807000
